Tweet Coordinates,text,date,id,user,Place Info,location,Geo Enabled,retweet,likes,lang,keyword
,"RT @TorontoStar: With the Philippines battling a second wave and less than 2% of the population vaccinated, Escario asked Canada Border Ser…",5/12/2021 19:48,1.39257E+18,tejasaivalli,,"Mississauga, Ontario",FALSE,17,0,en,covid-19
,RT @cordeliaevans: At the Covid-19 Update Statement today @FelicityBuchan asks @BorisJohnson to confirm when the ‘work from home’ guidance…,5/12/2021 19:48,1.39257E+18,KCFConservative,,"London, England",TRUE,1,0,en,covid-19
,This is heartbreaking. If politicians now weren't so obsessed with tweeting out rage and in becoming social media p… https://t.co/mYgdcGNMXt,5/12/2021 19:48,1.39257E+18,djwinterman,,,FALSE,0,0,en,covid-19
,"RT @sanjaynagral: ‘Epidemic within a pandemic’ Drug chart. Covid 19 icu. Rationality apart, also ticking time bomb for side effects, drug i…",5/12/2021 19:48,1.39257E+18,oliverprem15,,"india,chennai",TRUE,125,0,en,covid-19
,"RT @neiltyson: If you are refusing to get vaccinated against COVID-19, maybe it's because you are getting your medical advice from news pun…",5/12/2021 19:48,1.39257E+18,j0Star,,,FALSE,9818,0,en,covid-19
,"RT @varunrti: On International Nurses Day, let’s celebrate the nurses and medical professionals around the world who do so much for so many…",5/12/2021 19:48,1.39257E+18,GGgrimreaper,,"Charlotte, NC",FALSE,25,0,en,covid-19
,RT @KartiPC: Full Transcript | Centre Failed To Provide Alternative Sources for Vaccine Supply: Chidambaram https://t.co/HbOzSa4YzJ,5/12/2021 19:48,1.39257E+18,manojpdkt,,"Alangudi, India",TRUE,7,0,en,covid-19
,"RT @TeamAPCIA: With families and businesses facing hardships from the COVID-19 crisis, reigning in litigation abuse is critical to speeding…",5/12/2021 19:48,1.39257E+18,wcmarkwalls,,United States,TRUE,4,0,en,covid-19
,"RT @neiltyson: If you are refusing to get vaccinated against COVID-19, maybe it's because you are getting your medical advice from news pun…",5/12/2021 19:48,1.39257E+18,scseaotter,,,FALSE,9818,0,en,covid-19
,"RT @channelstv: BREAKING: FG Announces Phase IV Of COVID-19 Lockdown, To Take Effect From Tuesday https://t.co/E9XvcwNNvg https://t.co/hV7F…",5/12/2021 19:48,1.39257E+18,ovigho,,,FALSE,2399,0,en,covid-19
,"RT @dannyjnwong: It's March 2020, you're a CT1 anaesthetist and needed urgently as COVID-19 patients start piling in through the front door…",5/12/2021 19:48,1.39257E+18,dan_brooke,,"Maidenhead, England",TRUE,49,0,en,covid-19
,"RT @BarackObama: On International Nurses Day, let’s celebrate the nurses and medical professionals around the world who do so much for so m…",5/12/2021 19:48,1.39257E+18,SportsEmployLaw,,South Africa,TRUE,2890,0,en,covid-19
,"RT @UKCovid19Stats: 🏴󠁧󠁢󠁥󠁮󠁧󠁿 England regions by highest number of COVID-19 positives per 100k population.

7–day rolling rate by specimen da…",5/12/2021 19:48,1.39257E+18,maisiethetortie,,London ,FALSE,1,0,en,covid-19
,RT @cnnbrk: CDC advisers recommend giving the Pfizer/BioNTech Covid-19 vaccine to 12- to 15-year-olds https://t.co/7tzhirMNqL,5/12/2021 19:48,1.39257E+18,david00795,,Haiti,FALSE,68,0,en,covid-19
,"RT @varunrti: On International Nurses Day, let’s celebrate the nurses and medical professionals around the world who do so much for so many…",5/12/2021 19:48,1.39257E+18,TwitchDilh31,,,FALSE,25,0,en,covid-19
